N_R,N_P,N_C,D_R,D_P,D_C,C_R,C_P,C_C,Correct
1,1,0,3,9,8,1,1,0,True
1,2,0,4,11,10,1,2,0,True
2,2,1,7,15,16,0,1,1,False
1,2,0,3,8,11,1,1,0,False
1,1,0,2,8,11,1,1,0,True
1,1,1,5,7,8,1,1,1,True
2,2,0,4,8,8,1,2,0,False
1,2,0,3,6,5,1,2,0,True
1,2,0,2,8,7,1,1,0,False
1,1,0,3,8,9,1,0,0,False
1,1,0,6,14,17,1,1,0,True
1,2,0,3,11,9,1,1,0,False
1,1,0,5,6,6,1,1,0,True
2,2,0,6,14,10,0,2,0,False
1,1,1,3,6,8,0,1,1,False
2,2,0,4,1,1,1,2,0,False
2,1,0,3,5,8,1,1,0,False
1,2,1,5,20,18,1,1,1,False
1,2,1,5,16,16,1,2,1,True
2,1,0,7,12,11,1,1,0,False
1,2,0,4,11,10,1,2,0,True
2,2,0,5,19,20,1,0,0,False
2,1,0,3,5,6,2,1,0,True
1,2,1,4,11,13,1,1,1,False
2,2,0,6,12,9,1,1,0,False
1,2,1,6,13,8,1,2,0,False
2,2,0,5,6,9,2,2,0,True
1,2,0,3,17,17,0,0,0,False
1,1,1,2,4,5,0,0,1,False
1,2,0,3,10,9,1,0,0,False
1,1,1,4,8,9,1,1,1,True
1,1,0,6,17,14,1,1,0,True
2,2,0,4,10,11,2,2,0,True
1,1,0,2,4,5,0,0,0,False
1,1,0,6,18,18,1,1,0,True
2,1,0,3,7,9,2,1,0,True
1,1,0,5,15,15,1,0,0,False
1,2,1,2,14,16,1,0,1,False
1,2,1,5,10,13,1,2,1,True
1,2,1,4,8,7,1,0,1,False
2,1,0,5,6,3,2,1,0,True
2,2,0,3,8,9,2,1,0,False
1,1,0,3,7,7,1,0,0,False
1,1,0,4,8,6,1,1,0,True
1,1,1,4,3,4,1,1,1,True
1,2,1,4,22,22,1,2,1,True
1,1,0,2,4,4,1,0,0,False
1,1,0,3,19,12,1,0,0,False
1,2,1,4,12,11,1,2,1,True
1,2,1,4,12,10,1,1,0,False
1,2,1,4,10,10,1,1,1,False
1,1,0,7,21,20,1,0,0,False
1,2,0,3,14,16,1,2,0,True
1,1,0,3,10,9,1,0,0,False
1,2,1,4,6,5,1,2,1,True
2,1,0,4,15,11,2,1,0,True
1,2,1,7,10,9,1,2,1,True
1,2,1,7,21,15,1,2,1,True
1,2,1,5,9,12,1,2,1,True
2,2,1,5,11,10,2,2,1,True
1,2,0,7,14,13,1,0,0,False
1,2,1,5,9,9,1,2,1,True
1,2,0,3,6,8,1,1,0,False
1,1,1,3,7,7,1,1,1,True
1,1,1,5,6,8,0,0,1,False
2,2,1,5,9,10,2,2,1,True
1,1,0,3,8,10,1,0,0,False
1,2,1,5,10,8,0,1,1,False
1,1,0,4,6,5,1,1,0,True
1,2,0,5,10,10,0,2,0,False
1,1,0,2,5,8,1,0,0,False
2,1,0,5,19,20,1,0,0,False
1,2,1,3,11,8,1,2,1,True
1,2,0,5,10,8,1,1,0,False
1,1,0,3,3,1,1,1,0,True
2,1,1,6,18,14,2,1,1,True
2,1,0,4,8,6,1,1,0,False
1,1,0,2,10,8,1,0,0,False
1,2,1,8,18,15,1,2,1,True
1,1,0,4,6,7,1,1,0,True
1,2,1,6,9,9,1,1,1,False
1,2,1,6,9,9,1,1,1,False
1,2,1,4,22,18,1,1,1,False
1,1,1,4,6,8,1,1,1,True
2,2,0,4,17,12,2,2,0,True
1,2,0,3,8,6,1,2,0,True
2,1,0,4,11,12,2,0,0,False
2,2,0,2,7,5,1,1,0,False
1,1,0,2,9,7,1,1,0,True
2,2,1,8,12,12,1,2,1,False
1,2,0,2,8,8,1,0,0,False
2,1,0,2,4,2,2,1,0,True
2,1,0,8,8,4,1,1,0,False
1,1,0,3,10,10,1,1,0,True
2,2,0,5,12,12,2,1,0,False
2,2,0,4,6,6,1,2,0,False
2,1,0,3,3,3,2,1,0,True
1,1,1,3,10,13,1,1,1,True
1,1,0,1,7,7,1,1,0,True
1,2,0,2,8,8,1,2,0,True
1,2,1,6,13,10,1,2,1,True
1,1,0,3,7,5,1,1,0,True
2,2,1,5,11,11,2,2,1,True
2,1,0,6,10,11,2,1,0,True
1,2,0,5,15,14,1,2,0,True
1,1,0,3,6,1,1,1,0,True
1,2,1,7,8,9,1,1,1,False
2,1,0,3,6,8,2,0,0,False
1,1,1,5,6,9,1,1,1,True
1,2,1,4,8,7,1,2,1,True
1,2,0,4,10,13,1,2,0,True
1,1,0,4,9,8,0,1,0,False
2,1,0,2,10,13,2,1,0,True
2,2,1,8,29,22,2,2,1,True
1,2,0,6,11,13,1,2,0,True
1,2,1,4,10,9,1,2,1,True
2,1,0,4,11,11,2,0,0,False
1,1,0,3,2,3,1,1,0,True
1,2,1,5,11,11,1,2,1,True
1,2,0,5,10,8,1,2,0,True
2,2,0,6,12,14,1,1,0,False
2,1,0,6,7,8,2,1,0,True
1,2,0,4,9,11,1,1,0,False
1,1,1,5,7,7,1,1,1,True
2,1,0,3,7,8,2,1,0,True
2,1,0,3,4,7,2,1,0,True
1,1,0,2,6,6,1,1,0,True
2,1,0,4,7,5,2,1,0,True
2,1,1,4,6,7,2,1,1,True
1,2,0,3,14,13,1,1,0,False
1,1,0,3,8,8,1,1,0,True
1,2,0,3,10,9,1,2,0,True
1,1,0,3,7,9,1,1,0,True
2,1,0,2,10,12,2,1,0,True
2,1,0,5,3,4,2,1,0,True
2,1,0,4,18,17,2,0,0,False
2,2,0,6,14,10,2,2,0,True
2,1,1,4,8,6,2,1,0,False
1,1,0,3,9,12,1,1,0,True
1,2,0,4,9,9,1,0,0,False
1,2,1,2,13,14,0,1,1,False
1,1,0,3,15,12,1,1,0,True
2,2,0,4,9,10,2,1,0,False
1,2,0,4,8,8,0,2,0,False
2,1,0,3,3,3,2,1,0,True
1,1,1,4,16,13,1,1,1,True
1,2,1,5,15,18,0,2,1,False
1,2,0,5,12,11,0,2,0,False
1,1,0,1,10,9,1,1,0,True
1,2,1,6,23,20,1,2,0,False
1,1,1,4,25,26,1,0,1,False
2,1,0,5,8,10,2,1,0,True
1,2,0,4,13,12,1,2,0,True
2,1,0,4,11,8,2,1,0,True
2,1,0,3,5,2,1,1,0,False
1,2,0,3,7,9,1,1,0,False
1,2,0,5,16,13,0,2,0,False
1,2,1,4,13,13,1,2,1,True
2,2,0,5,10,10,2,1,0,False
1,1,1,4,7,8,1,0,1,False
2,1,0,3,6,7,1,0,0,False
